iter	Passed	Remaining
555	3022	2413
556	3027	2407
557	3031	2401
558	3036	2395
559	3041	2389
560	3045	2383
561	3049	2376
562	3053	2370
563	3058	2364
564	3062	2358
565	3067	2351
566	3071	2345
567	3075	2339
568	3079	2332
569	3083	2326
570	3088	2320
571	3093	2314
572	3097	2308
573	3102	2302
574	3106	2296
575	3111	2290
576	3116	2284
577	3121	2278
578	3125	2272
579	3130	2266
580	3134	2260
581	3139	2254
582	3144	2248
583	3148	2242
584	3153	2237
585	3158	2231
586	3162	2225
587	3167	2219
588	3174	2215
589	3180	2209
590	3187	2205
591	3193	2200
592	3199	2196
593	3206	2191
594	3211	2186
595	3218	2181
596	3224	2176
597	3230	2171
598	3236	2166
599	3242	2161
600	3249	2157
601	3255	2152
602	3261	2147
603	3266	2141
604	3272	2136
605	3277	2131
606	3286	2127
607	3290	2121
608	3298	2117
609	3303	2112
610	3309	2107
611	3315	2102
612	3321	2097
613	3326	2091
614	3331	2085
615	3337	2080
616	3343	2075
617	3353	2072
618	3357	2066
619	3363	2061
620	3368	2055
621	3374	2050
622	3380	2045
623	3385	2039
624	3390	2034
625	3396	2029
626	3401	2023
627	3406	2017
628	3411	2012
629	3415	2006
630	3419	1999
631	3425	1994
632	3430	1988
633	3435	1983
634	3441	1978
635	3445	1972
636	3451	1967
637	3457	1961
638	3463	1956
639	3469	1951
640	3474	1945
641	3479	1940
642	3486	1935
643	3491	1930
644	3497	1925
645	3503	1919
646	3508	1914
647	3513	1908
648	3519	1903
649	3525	1898
650	3532	1893
651	3538	1888
652	3543	1883
653	3549	1877
654	3555	1872
655	3563	1868
656	3568	1862
657	3575	1858
658	3580	1852
659	3590	1849
660	3597	1845
661	3607	1842
662	3615	1837
663	3623	1833
664	3627	1827
665	3633	1822
666	3639	1816
667	3644	1811
668	3650	1806
669	3659	1802
670	3665	1797
671	3670	1791
672	3675	1785
673	3683	1781
674	3687	1775
675	3692	1769
676	3698	1764
677	3703	1758
678	3709	1753
679	3715	1748
680	3721	1743
681	3726	1737
682	3731	1731
683	3735	1725
684	3741	1720
685	3746	1714
686	3750	1708
687	3755	1703
688	3761	1697
689	3766	1692
690	3771	1686
691	3778	1681
692	3782	1675
693	3787	1670
694	3792	1664
695	3796	1658
696	3802	1652
697	3807	1647
698	3812	1641
699	3816	1635
700	3821	1629
701	3826	1624
702	3830	1618
703	3835	1612
704	3839	1606
705	3844	1600
706	3850	1595
707	3854	1589
708	3859	1584
709	3864	1578
710	3868	1572
711	3873	1566
712	3878	1561
713	3883	1555
714	3888	1549
715	3892	1544
716	3897	1538
717	3901	1532
718	3906	1526
719	3911	1521
720	3916	1515
721	3921	1509
722	3925	1504
723	3930	1498
724	3934	1492
725	3938	1486
726	3943	1480
727	3947	1474
728	3951	1468
729	3955	1463
730	3960	1457
731	3964	1451
732	3969	1445
733	3973	1440
734	3979	1434
735	3983	1428
736	3988	1423
737	3992	1417
738	3997	1411
739	4001	1405
740	4005	1400
741	4009	1394
742	4014	1388
743	4018	1382
744	4023	1377
745	4028	1371
746	4033	1365
747	4038	1360
748	4044	1355
749	4047	1349
750	4052	1343
751	4057	1338
752	4061	1332
753	4066	1326
754	4070	1320
755	4074	1315
756	4079	1309
757	4084	1304
758	4088	1298
759	4093	1292
760	4097	1286
761	4101	1281
762	4106	1275
763	4110	1269
764	4114	1263
765	4119	1258
766	4123	1252
767	4128	1247
768	4133	1241
769	4137	1235
770	4141	1230
771	4145	1224
772	4150	1218
773	4155	1213
774	4161	1208
775	4167	1202
776	4172	1197
777	4178	1192
778	4185	1187
779	4190	1181
780	4195	1176
781	4200	1171
782	4206	1165
783	4211	1160
784	4217	1155
785	4224	1150
786	4230	1144
787	4234	1139
788	4239	1133
789	4245	1128
790	4251	1123
791	4255	1117
792	4261	1112
793	4266	1106
794	4270	1101
795	4275	1095
796	4280	1090
797	4285	1084
798	4290	1079
799	4296	1074
800	4304	1069
801	4311	1064
802	4317	1059
803	4322	1053
804	4329	1048
805	4334	1043
806	4340	1037
807	4344	1032
808	4350	1027
809	4356	1021
810	4362	1016
811	4366	1010
812	4371	1005
813	4376	1000
814	4381	994
815	4385	988
816	4391	983
817	4395	978
818	4401	972
819	4405	967
820	4410	961
821	4414	955
822	4420	950
823	4425	945
824	4431	940
825	4440	935
826	4446	930
827	4452	924
828	4458	919
829	4463	914
830	4468	908
831	4473	903
832	4479	898
833	4485	892
834	4490	887
835	4495	881
836	4501	876
837	4506	871
838	4510	865
839	4515	860
840	4520	854
841	4525	849
842	4529	843
843	4534	838
844	4538	832
845	4543	827
846	4548	821
847	4552	816
848	4557	810
849	4562	805
850	4567	799
851	4572	794
852	4578	789
853	4586	784
854	4592	778
855	4598	773
856	4603	768
857	4609	762
858	4615	757
859	4623	752
860	4628	747
861	4633	741
862	4641	736
863	4647	731
864	4653	726
865	4658	720
866	4663	715
867	4669	710
868	4677	705
869	4681	699
870	4687	694
871	4691	688
872	4696	683
873	4701	677
874	4705	672
875	4709	666
876	4714	661
877	4719	655
878	4724	650
879	4729	644
880	4735	639
881	4741	634
882	4748	629
883	4757	624
884	4765	619
885	4772	614
886	4779	608
887	4784	603
888	4791	598
889	4796	592
890	4801	587
891	4805	581
892	4810	576
893	4815	570
894	4820	565
895	4825	560
896	4830	554
897	4836	549
898	4841	543
899	4850	538
900	4855	533
901	4862	528
902	4867	522
903	4873	517
904	4880	512
905	4884	506
906	4889	501
907	4893	495
908	4897	490
909	4901	484
910	4906	479
911	4910	473
912	4913	468
913	4918	462
914	4924	457
915	4929	452
916	4934	446
917	4938	441
918	4942	435
919	4947	430
920	4951	424
921	4955	419
922	4958	413
923	4962	408
924	4966	402
925	4969	397
926	4973	391
927	4977	386
928	4981	380
929	4984	375
930	4988	369
931	4992	364
932	4996	358
933	5000	353
934	5004	347
935	5008	342
936	5011	336
937	5015	331
938	5019	326
939	5022	320
940	5026	315
941	5030	309
942	5034	304
943	5037	298
944	5041	293
945	5045	288
946	5049	282
947	5053	277
948	5057	271
949	5061	266
950	5064	260
951	5068	255
952	5072	250
953	5075	244
954	5079	239
955	5084	233
956	5088	228
957	5092	223
958	5096	217
959	5100	212
960	5105	207
961	5110	201
962	5115	196
963	5120	191
964	5124	185
965	5128	180
966	5132	175
967	5136	169
968	5140	164
969	5144	159
970	5149	153
971	5152	148
972	5156	143
973	5160	137
974	5164	132
975	5169	127
976	5173	121
977	5177	116
978	5181	111
979	5185	105
980	5189	100
981	5193	95
982	5197	89
983	5201	84
984	5205	79
985	5209	73
986	5214	68
987	5217	63
988	5221	58
989	5227	52
990	5231	47
991	5235	42
992	5239	36
993	5243	31
994	5247	26
995	5251	21
996	5255	15
997	5259	10
998	5264	5
999	5267	0
